ticker,fiscal_year,net_sales,total_assets,selling_expenses,general_admin_expenses,intangible_assets_net,manufacturing_overhead,net_operating_income,raw_material_consumption,merchandise_purchase_year,wip_goods_purchase,outside_manufacturing_expenses,production_cost,rnd_expenses,net_income,total_equity,total_liabilities,cash_and_equivalents,long_term_debt,current_assets,current_liabilities,growth_ratio,inventory,net_ppe,shares_outstanding,market_value_equity,dividend_cash_paid,eps_basic,managerial_inside_own,state_own,institutional_own,foreign_own,employees_count,firm_age,product_innovation,process_innovation,net_cfo,capex,net_cfi
IDI,2024,7136773393630.0,9377380009091.0,188796031578.0,82361733191.0,143325206757.0,452390206967.0,558233766126.0,2082838648146.0,6230536311011.0,27675659456.0,116056504002.0,2850857855968.0,,72676467900.0,3492233080975.0,5885146928116.0,1711692314347.0,1150868492526.0,7223258907795.0,4734278435590.0,-0.0116,1224667804249.0,592312391546.0,273172668,2248211057640.0,-423874840.0,248.0,0.0,0.0,0.5187,0.0081,2950.0,21,0,1,-81588997158.0,-35749274250.0,-312638312293.0
ILB,2020,455588881893.0,1439488491575.0,2681769294.0,39027299414.0,421017499.0,,179666545350.0,,,,,297684533498.0,0.0,69268439101.0,442807688399.0,996680803176.0,147227635195.0,298155559940.0,261402477395.0,307558633897.0,0.0895,0.0,773742495137.0,24502245,400072656360.0,-39285346870.0,2.098,0.0065,0.5132,0.6426,0.0,336.0,12,1,1,192876758988.0,-48591311051.0,-45811952420.0
ILB,2021,529893731578.0,1418278728294.0,3833224798.0,42871842160.0,421017499.0,,183580968019.0,3442020173.0,,,272449651266.0,362441173973.0,0.0,76916917208.0,472212108055.0,946066620239.0,101381643136.0,237892174895.0,317065093696.0,292989694647.0,0.163,0.0,714132033120.0,24502245,514326624795.0,-37627518280.0,2.443,0.0052,0.5132,0.6426,0.0,326.0,13,1,1,173054911732.0,-66478346837.0,-118035524811.0
ILB,2022,582987385530.0,1560772469480.0,3980844553.0,55575760731.0,430362824.0,,215720674838.0,3442020173.0,,,272449651266.0,380785826360.0,0.0,96673096181.0,514823810122.0,1045948659358.0,135858000075.0,278505182591.0,277157489922.0,372855256597.0,0.1,0.0,881866660085.0,24502245,408966971295.0,-39580666005.0,2.962,0.00048,0.5132,,,346.0,14,1,1,127359840396.0,-145911368540.0,-91098546479.0
ILB,2023,531536473621.0,1586187067920.0,3780201033.0,57881449156.0,31763885.0,,231879691345.0,2620990835.0,,,200456041578.0,321116543060.0,0.0,103880095902.0,553079145336.0,1033107922584.0,204095572047.0,217635324365.0,333214234901.0,429677925076.0,-0.088,0.0,813716941056.0,24502245,523686482385.0,-51068917811.0,3.317,0.00048,0.5132,,,344.0,15,1,1,187479781280.0,-9917153415.0,-2714717667.0
ILB,2024,496165109794.0,1587216938485.0,4174983659.0,46789102055.0,0.0,,223242839760.0,7402602606.0,,,192433183716.0,305905140995.0,0.0,103198027619.0,575118049255.0,1012098889230.0,248672167549.0,174313251667.0,368836155471.0,474959333724.0,-0.066,0.0,740557242482.0,25849492,637131876735.0,-54186685358.0,3.294,0.00045,0.5132,0.5907,,323.0,16,1,1,197751092852.0,-49215353027.0,-53477449499.0
LBM,2020,604352195690.0,450880858646.0,2338852150.0,57050774197.0,9731982221.0,205350534607.0,133679839188.0,221876948815.0,225459215506.0,2871912769.0,129755128753.0,521297836942.0,0.0,85158974247.0,378275656867.0,72605201779.0,61850855272.0,0.0,196099053280.0,71618701779.0,0.0262,50051227065.0,219619113821.0,10000000,,25753108333.0,6.684,0.0709,0.0,0.649,0.036,603.0,17,0,1,108054417684.0,-59282028748.0,-60551380963.0
LBM,2021,787824716215.0,544077560163.0,2664174044.0,78622408223.0,22078135899.0,229999757012.0,161644514410.0,332972977514.0,340859652186.0,3366755512.0,129342958356.0,696299567058.0,0.0,99833172138.0,434580706028.0,109496854135.0,49313168982.0,0.0,217666050627.0,108510354135.0,0.3036,68034298178.0,278125321432.0,10000000,,25260925000.0,8.175,0.052,0.0,0.649,0.096,688.0,18,0,1,164953194680.0,-154467767938.0,-152126148699.0
LBM,2022,1113267981194.0,713007176154.0,3342499860.0,107435397997.0,14774265406.0,245279433461.0,226626524753.0,551550494242.0,598616257012.0,3942971908.0,120219505172.0,917793250163.0,0.0,150554950977.0,533503062463.0,179504113691.0,82429250184.0,0.0,314974858712.0,178517613691.0,0.4131,128410629891.0,347942339157.0,20000000,,22186700000.0,6.058,0.0351,0.0,0.649,0.1329,774.0,19,0,1,166534810567.0,-130578739663.0,-110940773560.0
LBM,2023,901723777354.0,769875715021.0,3162427454.0,97411252744.0,14488187866.0,221421767069.0,241088456948.0,349024614912.0,342977999400.0,4176427067.0,106722800980.0,729588495835.0,0.0,159277391696.0,600567229107.0,169308485914.0,63029302488.0,39000000000.0,403101143434.0,129321810942.0,-0.19,114360107359.0,293250734103.0,20000000,,58176700000.0,6.254,0.0286,0.0,0.649,0.1681,731.0,20,0,1,92779475077.0,-189171929432.0,-146936912484.0
LBM,2024,873041189534.0,813952620323.0,4950872868.0,79349672246.0,14202110326.0,186909100257.0,182162326917.0,412135757950.0,418009752503.0,5539875188.0,82717725628.0,750468865474.0,0.0,104538163107.0,573106729433.0,240845890890.0,50151450136.0,27000000000.0,273250329551.0,172960890399.0,0.0318,104708821718.0,320881728900.0,40000000,,70176700000.0,2.061,0.0191,0.0,0.649,0.1564,778.0,21,0,1,196558074856.0,-251696993806.0,-245360519469.0
LCG,2020,3536254793538.0,6132492672781.0,7782720007.0,159691422387.0,394270897.0,105987617858.0,440786538417.0,,704000000.0,420951355142.0,664518548541.0,2980345011071.0,119204302363.0,311718851697.0,1846383206894.0,4286109465887.0,242176851079.0,731794455450.0,3980558292219.0,3446967188013.0,0.39,573907426958.0,1254529098974.0,117248510,1541817906500.0,0.0,2.43,0.2038,0.0,0.1907,0.0321,1.0,19,1,1,484838381938.0,445121164063.0,500195020885.0
LCG,2021,1802653972149.0,5804533486116.0,16897258501.0,83701975089.0,197326616.0,101654053085.0,374885860324.0,257570788873.0,7427000000.0,564684347941.0,1085324291977.0,1342141640318.0,119204302363.0,180810348005.0,2388616876129.0,3415916609987.0,256136123821.0,743250603677.0,3667580449339.0,2564472237878.0,-0.49,836549605500.0,1146859917914.0,174404824,3784584680800.0,80673720400.0,1.27,0.13,0.0,0.0244,0.0244,1.0,20,0,0,319291437493.0,1511636289.0,226207294005.0
LCG,2022,1005840232313.0,5047843826481.0,0.0,78998735273.0,50031616.0,99188962550.0,355840205154.0,434815637604.0,35163432153.0,919005181897.0,1097078079547.0,1857427044935.0,119204302363.0,194287025000.0,2583007776888.0,2464836049593.0,100866753630.0,73284272746.0,3869585657302.0,2280442537100.0,-0.44,1183591699927.0,130598375532.0,191641170,1397064129300.0,3993325.0,962.0,0.115,0.0,0.1014,0.02,391.0,21,0,0,924070697367.0,20761091601.0,663186136647.0
LCG,2023,1910175701529.0,5979135351215.0,0.0,86628261086.0,0.0,170648750165.0,246124262517.0,920936837319.0,171951677460.0,1424892900796.0,814617698414.0,2353969177651.0,119204302363.0,114355940199.0,2537896507223.0,3441238843992.0,731958407866.0,151904397901.0,4819620232177.0,3287661160726.0,0.9,1491707393429.0,387393580722.0,191641170,2338022274000.0,132748582400.0,519.0,0.0877,0.0,0.023,0.0203,557.0,22,0,0,726750668240.0,14239786886.0,38761204958.0
LCG,2024,2795461752970.0,6019865872228.0,0.0,145785400136.0,10254240000.0,147617245619.0,287332613799.0,2274217131481.0,72577086059.0,1927806843291.0,897191012853.0,3516031472905.0,119204302363.0,120149449192.0,2590608809353.0,3429257062875.0,359580486996.0,282933038574.0,4607206287431.0,3146324024301.0,0.46,2055564927611.0,447185433801.0,195091170,2019193609500.0,96733903498.0,603.0,0.0861,0.0,0.0073,0.0107,672.0,23,0,0,158298236170.0,13634309960.0,234299130970.0
LGC,2020,704801929382.0,11905685986280.0,36219610473.0,122763439847.0,3188072987598.0,320076131186.0,969170670693.0,431817947.0,240675230712.0,27268847840.0,45196611409.0,353719343412.0,,505756523950.0,4444905523949.0,7460780462331.0,170577216218.0,5806066666600.0,1054482121079.0,1285106753456.0,-0.01,27268847840.0,5477071940.0,192854765,11063499303755.0,-692725718000.0,1713.0,0.0,0.0,0.55,0.45,109.0,42,0,1,181352857113.0,-256425297618.0,-104189060656.0
LGC,2021,900236469754.0,12178166708712.0,69824424524.0,101660096420.0,7268479576545.0,455464900297.0,839649026687.0,192777874.0,368925649894.0,26034647618.0,90208017945.0,488382017421.0,,307873734206.0,4688238199813.0,7489928508899.0,182456553643.0,11604706542.0,1187131675840.0,1396774183163.0,0.28,26034647618.0,11604706542.0,192854765,7712454906115.0,-34730000000.0,1066.0,0.0,0.0,0.55,0.45,98.0,43,0,0,345495052893.0,-152140183650.0,-206540076201.0
LGC,2022,1340701557272.0,12750083282364.0,107658614261.0,57840805877.0,6804543523759.0,588416118449.0,1198378571245.0,388040793.0,511043671297.0,17298527842.0,170603079514.0,609985457715.0,,462591201280.0,4843469811885.0,7906613470479.0,97843229219.0,9574363377.0,1244384275923.0,2222581550638.0,0.49,17298527842.0,9574363377.0,192854765,9214793526465.0,-92797469599.0,1489.0,0.0,0.0,0.55,0.45,100.0,44,1,1,408194082764.0,-74720694967.0,-710009569239.0
LGC,2023,1597024196656.0,22913703339215.0,114902865864.0,131139415722.0,16374644674873.0,725980633534.0,1714505420548.0,998741364.0,515588933951.0,6149680853.0,269475811951.0,760405364849.0,,927228912533.0,5183858022776.0,17729845316439.0,705492714069.0,11948696630.0,1727961289823.0,3101256166008.0,0.19,6149680853.0,11948696630.0,192854765,8858783630275.0,-372422668230.0,3550.0,0.0,0.0,0.55,0.45,270.0,45,0,0,143756260597.0,-309421812517.0,-146875588084.0
LGC,2024,2503558386331.0,23463511747161.0,124409382279.0,176214650074.0,15851673193661.0,1032226851603.0,2529921711604.0,1197042328.0,1693101391386.0,9498552800.0,316166274821.0,1104127869812.0,,791644172033.0,5684835709426.0,17778676037735.0,305454143139.0,12266897275.0,1942794069640.0,1761657191893.0,0.57,9498552800.0,12266897275.0,192854765,11937709953500.0,-574186534044.0,2718.0,0.0,0.0,0.52,0.45,283.0,46,0,0,587973905519.0,-174028093113.0,-737612259474.0
